Fecha,Clics,Impresiones,CTR,Posición
2026-07-11,0,0,,
2026-07-12,1,9,11.11%,5.2
2026-07-13,2,29,6.9%,3.4
2026-07-14,1,23,4.35%,1.9
2026-07-15,0,24,0%,2.2
2026-07-16,0,22,0%,4.5
2026-07-17,1,27,3.7%,3.3
2026-07-18,2,29,6.9%,4.7
2026-07-19,0,19,0%,3.2
2026-07-20,2,45,4.44%,4.4
2026-07-21,0,28,0%,4.2
2026-07-22,1,33,3.03%,4.2
2026-07-23,0,31,0%,3.6
2026-07-24,3,46,6.52%,3.7
2026-07-25,0,30,0%,6.2
2026-07-26,0,16,0%,3.7
2026-07-27,2,56,3.57%,5.3
2026-07-28,0,51,0%,6.7
2026-07-29,3,52,5.77%,3.7
2026-07-30,3,37,8.11%,4.5
2026-07-31,1,35,2.86%,4.5
2026-08-01,0,39,0%,5.5
2026-08-02,2,26,7.69%,3
2026-08-03,1,25,4%,2.8
2026-08-04,3,42,7.14%,2.7
2026-08-05,6,33,18.18%,4.1
2026-08-06,0,38,0%,4.5
2026-08-07,0,40,0%,4.3
2026-08-08,0,25,0%,5.8
2026-08-09,0,21,0%,5.7
2026-08-10,1,32,3.12%,5.3
2026-08-11,1,50,2%,4.9
2026-08-12,0,31,0%,3.8
2026-08-13,0,31,0%,3.7
2026-08-14,0,45,0%,5
2026-08-15,0,33,0%,3.8
2026-08-16,3,25,12%,6.1
