País,Clics,Impresiones,CTR,Posición
Costa Rica,33,1024,3.22%,3.87
Suecia,4,18,22.22%,1.78
Bélgica,2,3,66.67%,1
México,0,25,0%,9.36
Estados Unidos,0,21,0%,8
Noruega,0,12,0%,1.42
España,0,11,0%,8.64
Ecuador,0,11,0%,9.45
Países Bajos,0,5,0%,3.4
Nicaragua,0,5,0%,5.4
Reino Unido,0,5,0%,6.8
Perú,0,5,0%,8.2
Argentina,0,4,0%,9
Alemania,0,3,0%,5
Colombia,0,3,0%,8
Guatemala,0,3,0%,10.67
Suiza,0,2,0%,1.5
Dinamarca,0,2,0%,3
El Salvador,0,2,0%,6
Bangladés,0,2,0%,24.5
Jordania,0,2,0%,35.5
Vietnam,0,1,0%,1
Finlandia,0,1,0%,2
Rusia,0,1,0%,5
Bolivia,0,1,0%,8
Chequia,0,1,0%,8
Chile,0,1,0%,10
Ucrania,0,1,0%,11
Indonesia,0,1,0%,25
Arabia Saudí,0,1,0%,33
Turquía,0,1,0%,43
